Nom français V1;Nom latin V1;Type modification;Nom français V2;Nom latin V2;Rang 1;Rang 2;Rang 3;Rang 4;Type taxon;Protocole Aspifaune;Protocole Noctambules;Protocole Escargot;Protocole vers
L'Allacma sombre;Allacma fusca;;L'Allacma sombre;Allacma fusca;Les Collemboles (Collembola);Les Collemboles Symphypléones (Symphypleona);;;taxon terminal;1;1;0;0
Les Dicyrtomines à dessins pourpres;Dicyrtomina;;Les Dicyrtomines à dessins pourpres;Dicyrtomina;Les Collemboles (Collembola);Les Collemboles Symphypléones (Symphypleona);;;taxon terminal;1;1;0;0
Les Collemboles Poduromorphes;Poduromorpha;;Les Collemboles Poduromorphes;Poduromorpha;Les Collemboles (Collembola);Les Collemboles Poduromorphes (Poduromorpha);;;taxon intermédiaire;1;1;0;0
Le Podure aquatique;Podura aquatica;;Le Podure aquatique;Podura aquatica;Les Collemboles (Collembola);Les Collemboles Poduromorphes (Poduromorpha);;;taxon terminal;1;1;0;0
Les Néanurines;Neanurinae;;Les Néanurines;Neanurinae;Les Collemboles (Collembola);Les Collemboles Poduromorphes (Poduromorpha);;;taxon terminal;1;1;0;0
Les Onychiurides;Onychiuridae;;Les Onychiurides;Onychiuridae;Les Collemboles (Collembola);Les Collemboles Poduromorphes (Poduromorpha);;;taxon terminal;1;1;0;0
Les Hypogastrurides;Hypogastruridae;;Les Hypogastrurides;Hypogastruridae;Les Collemboles (Collembola);Les Collemboles Poduromorphes (Poduromorpha);;;taxon terminal;1;1;0;0
Les Collemboles Entomobryomorphes;Entomobryomorpha;;Les Collemboles Entomobryomorphes;Entomobryomorpha;Les Collemboles (Collembola);Les Collemboles Entomobryomorphes (Entomobryomorpha);;;taxon intermédiaire;1;1;0;0
Les Tomocerides;Tomoceridae;;Les Tomocerides;Tomoceridae;Les Collemboles (Collembola);Les Collemboles Entomobryomorphes (Entomobryomorpha);Les Tomocerides (Tomoceridae);;taxon terminal;1;1;0;0
Le Tomoceride longicorne;Pogonognathellus longicornis;;Le Tomoceride longicorne;Pogonognathellus longicornis;Les Collemboles (Collembola);Les Collemboles Entomobryomorphes (Entomobryomorpha);Les Tomocerides (Tomoceridae);;taxon terminal;1;1;0;0
Les Isotomides;Isotomidae;;Les Isotomides;Isotomidae;Les Collemboles (Collembola);Les Collemboles Entomobryomorphes (Entomobryomorpha);;;taxon terminal;1;1;0;0
Les Entomobryides;Entomobryidae;;Les Entomobryides;Entomobryidae;Les Collemboles (Collembola);Les Collemboles Entomobryomorphes (Entomobryomorpha);Les Entomobryides (Entomobryidae);;taxon intermédiaire;1;1;0;0
Les Orcheselles;Orchesella;;Les Orcheselles;Orchesella;Les Collemboles (Collembola);Les Collemboles Entomobryomorphes (Entomobryomorpha);Les Entomobryides (Entomobryidae);Les Orcheselles (Orchesella);taxon intermédiaire;1;1;0;0
L'Orcheselle ceinturée;Orchesella cincta;;L'Orcheselle ceinturée;Orchesella cincta;Les Collemboles (Collembola);Les Collemboles Entomobryomorphes (Entomobryomorpha);Les Entomobryides (Entomobryidae);Les Orcheselles (Orchesella);taxon terminal;1;1;0;0
L'Orcheselle jaune;Orchesella flavescens;;L'Orcheselle jaune;Orchesella flavescens;Les Collemboles (Collembola);Les Collemboles Entomobryomorphes (Entomobryomorpha);Les Entomobryides (Entomobryidae);Les Orcheselles (Orchesella);taxon terminal;1;1;0;0
Les Lépidocyrtes à reflets métalliques;Lepidocyrtus;;Les Lépidocyrtes à reflets métalliques;Lepidocyrtus;Les Collemboles (Collembola);Les Collemboles Entomobryomorphes (Entomobryomorpha);Les Entomobryides (Entomobryidae);;taxon terminal;1;1;0;0
Les Pseudosinelles nacrées;Pseudosinella;;Les Pseudosinelles nacrées;Pseudosinella;Les Collemboles (Collembola);Les Collemboles Entomobryomorphes (Entomobryomorpha);Les Entomobryides (Entomobryidae);;taxon terminal;1;1;0;0
Les Perces-oreilles;Dermaptera;modifié (correction appelation);Les Perce-oreilles;Dermaptera;Les Perces-oreilles (Dermaptera);;;;taxon intermédiaire;1;1;0;0
Les Perces-oreilles à ailes visibles;Forficula et autres genres;modifié (correction appelation);Les Perce-oreilles à ailes visibles;Forficula, Labiduria et autres genres;Les Perces-oreilles (Dermaptera);;;;taxon intermédiaire;1;1;0;0
La Forficule commune;Forficula auricularia;;La Forficule commune;Forficula auricularia;Les Perces-oreilles (Dermaptera);;;;taxon terminal;1;1;0;0
Le Petit Perce-oreille;Labia minor;;Le Petit Perce-oreille;Labia minor;Les Perces-oreilles (Dermaptera);;;;taxon terminal;1;1;0;0
Le Perce-oreille des rivages;Labidura riparia;;Le Perce-oreille des rivages;Labidura riparia;Les Perces-oreilles (Dermaptera);;;;taxon terminal;1;1;0;0
Le Perce-oreille à deux points;Anechura bipunctata;;Le Perce-oreille à deux points;Anechura bipunctata;Les Perces-oreilles (Dermaptera);;;;taxon terminal;1;1;0;0
Les Perce-oreilles sans élytres;Anisolabidinae;;Les Perce-oreilles sans élytres;Anisolabidinae;Les Perces-oreilles (Dermaptera);;;;taxon intermédiaire;1;1;0;0
Le Perce-oreille triste;Euborellia moesta;;Le Perce-oreille triste;Euborellia moesta;Les Perces-oreilles (Dermaptera);;;;taxon terminal;1;1;0;0
Le Perce-oreille annelé;Euborellia annulipes;;Le Perce-oreille annelé;Euborellia annulipes;Les Perces-oreilles (Dermaptera);;;;taxon terminal;1;1;0;0
Les Perce-oreilles aux ailes cachées;Forficula, Chelidura et autres genres;;Les Perce-oreilles aux ailes cachées;Forficula, Chelidura et autres genres;Les Perces-oreilles (Dermaptera);;;;taxon intermédiaire;1;1;0;0
La Forficule moyenne;Apterygida albipennis;;La Forficule moyenne;Apterygida albipennis;Les Perces-oreilles (Dermaptera);;;;taxon terminal;1;1;0;0
La Forficule trompeuse;Forficula decipiens;;La Forficule trompeuse;Forficula decipiens;Les Perces-oreilles (Dermaptera);;;;taxon terminal;1;1;0;0
La Forficule de Lesne;Forficula lesnei;;La Forficule de Lesne;Forficula lesnei;Les Perces-oreilles (Dermaptera);;;;taxon terminal;1;1;0;0
La Forficule pubescente;Guanchia pubescens;;La Forficule pubescente;Guanchia pubescens;Les Perces-oreilles (Dermaptera);;;;taxon terminal;1;1;0;0
Les Chélidoures;Chelidura, Chelidurella;;Les Chélidoures;Chelidura, Chelidurella;Les Perces-oreilles (Dermaptera);;;;taxon terminal;1;1;0;0
Les Pseudochélidoures;Pseudochelidura;;Les Pseudochélidoures;Pseudochelidura;Les Perces-oreilles (Dermaptera);;;;taxon terminal;1;1;0;0
Les Scorpions;Scorpiones;;Les Scorpions;Scorpiones;;;;;taxon terminal;1;1;0;0
Le Scorpion languedocien;Buthus occitanus;suppression;;;;;;;;1;1;0;0
Le Scorpion à queue jaune;Euscorpius flavicaudis;suppression;;;;;;;;1;1;0;0
;;ajout;Les Mille-pattes;Myriapoda;Les Mille-pattes (Myriapoda);;;;taxon intermédiaire;1;1;0;0
Les Symphiles;Symphyla;modifié (correction appelation);Les Symphyles;Symphyla;Les Mille-pattes (Myriapoda);;;;taxon terminal;1;1;0;0
Les Pauropodes;Pauropoda;;Les Pauropodes;Pauropoda;Les Mille-pattes (Myriapoda);;;;taxon terminal;1;1;0;0
Les Chilopodes;Chilopoda;;Les Chilopodes;Chilopoda;Les Mille-pattes (Myriapoda);Les Chilopodes (Chilopoda);;;taxon intermédiaire;1;1;0;0
La Scutigère véloce;Scutigera coleoptrata;;La Scutigère véloce;Scutigera coleoptrata;Les Mille-pattes (Myriapoda);Les Chilopodes (Chilopoda);;;taxon terminal;1;1;0;0
Les Litobiomorphes;Lithobiomorpha;modifié (correction appelation);Les Lithobiomorphes;Lithobiomorpha;Les Mille-pattes (Myriapoda);Les Chilopodes (Chilopoda);;;taxon terminal;1;1;0;0
Les Scolopendromorphes;Scolopendromorpha;;Les Scolopendromorphes;Scolopendromorpha;Les Mille-pattes (Myriapoda);Les Chilopodes (Chilopoda);Les Scolopendromorphes (Scolopendromorpha);;taxon intermédiaire;1;1;0;0
La Scolopendre annelée;Scolopendra cingulata;;La Scolopendre annelée;Scolopendra cingulata;Les Mille-pattes (Myriapoda);Les Chilopodes (Chilopoda);Les Scolopendromorphes (Scolopendromorpha);;taxon terminal;1;1;0;0
Les Cryptops;Cryptops hortensis et autres espèces;modifié (correction appelation);Les Cryptops;Cryptops;Les Mille-pattes (Myriapoda);Les Chilopodes (Chilopoda);Les Scolopendromorphes (Scolopendromorpha);;taxon terminal;1;1;0;0
Les Géophilomorphes;Geophilomorpha;;Les Géophilomorphes;Geophilomorpha;Les Mille-pattes (Myriapoda);Les Chilopodes (Chilopoda);Les Géophilomorphes (Geophilomorpha);;taxon intermédiaire;1;1;0;0
Les Himantarides;Himantariidae;;Les Himantarides;Himantariidae;Les Mille-pattes (Myriapoda);Les Chilopodes (Chilopoda);Les Géophilomorphes (Geophilomorpha);;taxon terminal;1;1;0;0
Les Diplopodes;Diplopoda;;Les Diplopodes;Diplopoda;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);;;taxon intermédiaire;1;1;0;0
Le Polyzonium allemand;Polyzonium germanicum;;Le Polyzonium allemand;Polyzonium germanicum;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);;;taxon terminal;1;1;0;0
Les Polyxènes;Polyxenida;;Les Polyxènes;Polyxenida;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);;;taxon terminal;1;1;0;0
Les Iulomorphes;Julida, Chordeumatida, Callopodida;supprimé;;;;;;;taxon intermédiaire;1;1;0;0
Le Callipus fétide;Callipus foetidissimus;;Le Callipus fétide;Callipus foetidissimus;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);;;taxon terminal;1;1;0;0
Les Iules;Julida;;Les Iules;Julida;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Iules (Julida);;taxon intermédiaire;1;1;0;0
Les Blaniules mouchetées;Blaniulidae;;Les Blaniules mouchetées;Blaniulidae;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Iules (Julida);;taxon terminal;1;1;0;0
Le Iule ponctué;Cylindroiulus punctatus;;Le Iule ponctué;Cylindroiulus punctatus;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Iules (Julida);;taxon terminal;1;1;0;0
Le Iule noir;Tachypodoiulus niger;;Le Iule noir;Tachypodoiulus niger;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Iules (Julida);;taxon terminal;1;1;0;0
Le Iule des sables;Ommatoiulus sabulosus;;Le Iule des sables;Ommatoiulus sabulosus;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Iules (Julida);;taxon terminal;1;1;0;0
Le Iule incarnat;Ommatoiulus sabulosus aimtopodus;;Le Iule incarnat;Ommatoiulus sabulosus aimtopodus;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Iules (Julida);;taxon terminal;1;1;0;0
Le Iule rutilant;Ommatoiulus rutilans;;Le Iule rutilant;Ommatoiulus rutilans;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Iules (Julida);;taxon terminal;1;1;0;0
Le Iule à tête rousse;Cylindroiulus broti;;Le Iule à tête rousse;Cylindroiulus broti;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Iules (Julida);;taxon terminal;1;1;0;0
Les Brachyiules à bande jaune;Brachyiulus pusillus et lusitanus;;Les Brachyiules à bande jaune;Brachyiulus pusillus et lusitanus;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Iules (Julida);;taxon terminal;1;1;0;0
Les Polydesmes;Polydesmida;;Les Polydesmes;Polydesmida;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Polydesmes (Polydesmida);;taxon intermédiaire;1;1;0;0
Les Paradoxosomes;Paradoxosomatidae;modifié (correction appelation);Les Paradoxosomes;Oxidus gracilis, Stosatea italica;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Polydesmes (Polydesmida);;taxon terminal;1;1;0;0
Les Chordeumatides;Chordeumatida;;Les Chordeumatides;Chordeumatida;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Chordeumatides (Chordeumatida);;taxon intermédiaire;1;1;0;0
Les Faux Polydesmes;Nanogona;;Les Faux Polydesmes;Nanogona;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Chordeumatides (Chordeumatida);;taxon terminal;1;1;0;0
Les Glomérides;Glomerida;;Les Glomérides;Glomerida;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Glomérides (Glomerida);;taxon intermédiaire;1;1;0;0
Le Gloméris marginé;Glomeris marginata;;Le Gloméris marginé;Glomeris marginata;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Glomérides (Glomerida);;taxon terminal;1;1;0;0
Le Gloméris annelé;Glomeris annulata;;Le Gloméris annelé;Glomeris annulata;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Glomérides (Glomerida);;taxon terminal;1;1;0;0
Le Gloméris transalpin;Glomeris transalpina;;Le Gloméris transalpin;Glomeris transalpina;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Glomérides (Glomerida);;taxon terminal;1;1;0;0
Le Gloméris intermédiaire;Glomeris intermedia;;Le Gloméris intermédiaire;Glomeris intermedia;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Glomérides (Glomerida);;taxon terminal;1;1;0;0
Les Gloméris à tâches jaunes ou orangées;Glomeris esterelana et autres espèces;modifié (correction appelation);Les Gloméris à tâches jaunes ou orangées;Glomeris;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Glomérides (Glomerida);;taxon terminal;1;1;0;0
Les Gloméris à motifs irréguliers;Glomeris ligurica et autres espèces;modifié (correction appelation);Les Gloméris à motifs irréguliers;Glomeris;Les Mille-pattes (Myriapoda);Les Diplopodes (Diplopoda);Les Glomérides (Glomerida);;taxon terminal;1;1;0;0
Les Cloportes;Oniscidea;;Les Cloportes;Oniscidea;Les Cloportes (Oniscidea);;;;taxon intermédiaire;1;1;0;0
Les Cloportes pygmées blancs;Trichoniscidae;;Les Cloportes pygmées blancs;Trichoniscidae;Les Cloportes (Oniscidea);;;;taxon terminal;1;1;0;0
Les Cloportes pygmées marron violacé;Trichoniscus, Hyloniscus;;Les Cloportes pygmées marron violacé;Trichoniscus, Hyloniscus;Les Cloportes (Oniscidea);;;;taxon terminal;1;1;0;0
Les Cloportes pygmées roses;Androniscus dentiger et roseus;;Les Cloportes pygmées roses;Androniscus dentiger et roseus;Les Cloportes (Oniscidea);;;;taxon terminal;1;1;0;0
Les Haplophthalmes;Haplophthalmus;;Les Haplophthalmes;Haplophthalmus;Les Cloportes (Oniscidea);;;;taxon terminal;1;1;0;0
Les Cloportes myrmécophiles;Platyarthrus hoffmannseggii et autres espèces;modifié (correction appelation);Les Cloportes myrmécophiles;Platyarthrus;Les Cloportes (Oniscidea);;;;taxon terminal;1;1;0;0
Le Cloporte d'Heller;Helleria brevicornis;;Le Cloporte d'Heller;Helleria brevicornis;Les Cloportes (Oniscidea);;;;taxon terminal;1;1;0;0
Les Cloportes échancrés;Philoscia, Porcellionides et autres genres;;Les Cloportes échancrés;Philoscia, Porcellionides et autres genres;Les Cloportes (Oniscidea);Les Cloportes échancrés (Philoscia, Porcellionides et autres genres);;;taxon intermédiaire;1;1;0;0
La Tiroloscie pyrénéenne;Tiroloscia pyrenaica;;La Tiroloscie pyrénéenne;Tiroloscia pyrenaica;Les Cloportes (Oniscidea);Les Cloportes échancrés (Philoscia, Porcellionides et autres genres);;;taxon terminal;1;1;0;0
La Lygie des Hypnes;Ligidium hypnorum;;La Lygie des Hypnes;Ligidium hypnorum;Les Cloportes (Oniscidea);Les Cloportes échancrés (Philoscia, Porcellionides et autres genres);;;taxon terminal;1;1;0;0
Le Cloporte des platanes;Acaeroplastes melanurus;;Le Cloporte des platanes;Acaeroplastes melanurus;Les Cloportes (Oniscidea);Les Cloportes échancrés (Philoscia, Porcellionides et autres genres);;;taxon terminal;1;1;0;0
Les Cloportes ceinturés;Porcellionides, Orthometopon;modifié (correction appelation);Les Cloportes ceinturés;Porcellionides, Orthometopon planum;Les Cloportes (Oniscidea);Les Cloportes échancrés (Philoscia, Porcellionides et autres genres);;;taxon terminal;1;1;0;0
Le Porcellionide pruineux;Porcellionides pruinosus;;Le Porcellionide pruineux;Porcellionides pruinosus;Les Cloportes (Oniscidea);Les Cloportes échancrés (Philoscia, Porcellionides et autres genres);;;taxon terminal;1;1;0;0
Les Philoscies;Philoscia muscorum et affinis;;Les Philoscies;Philoscia muscorum et affinis;Les Cloportes (Oniscidea);Les Cloportes échancrés (Philoscia, Porcellionides et autres genres);Les Philoscies (Philoscia muscorum et affinis);;taxon intermédiaire;1;1;0;0
La Philoscie des mousses;Philoscia muscorum;;La Philoscie des mousses;Philoscia muscorum;Les Cloportes (Oniscidea);Les Cloportes échancrés (Philoscia, Porcellionides et autres genres);Les Philoscies (Philoscia muscorum et affinis);;taxon terminal;1;1;0;0
La Philoscie apparente;Philoscia affinis;;La Philoscie apparente;Philoscia affinis;Les Cloportes (Oniscidea);Les Cloportes échancrés (Philoscia, Porcellionides et autres genres);Les Philoscies (Philoscia muscorum et affinis);;taxon terminal;1;1;0;0
Les Chaetophiloscies;Chaetophiloscia sicula, elongata et cellaria;;Les Chaetophiloscies;Chaetophiloscia sicula, elongata et cellaria;Les Cloportes (Oniscidea);Les Cloportes échancrés (Philoscia, Porcellionides et autres genres);Les Chaetophiloscies (Chaetophiloscia sicula, elongata et cellaria);;taxon intermédiaire;1;1;0;0
La Chaetophiloscie allongée;Chaetophiloscia elongata;;La Chaetophiloscie allongée;Chaetophiloscia elongata;Les Cloportes (Oniscidea);Les Cloportes échancrés (Philoscia, Porcellionides et autres genres);Les Chaetophiloscies (Chaetophiloscia sicula, elongata et cellaria);;taxon terminal;1;1;0;0
La Chaetophiloscie fuseau;Chaetophiloscia sicula;;La Chaetophiloscie fuseau;Chaetophiloscia sicula;Les Cloportes (Oniscidea);Les Cloportes échancrés (Philoscia, Porcellionides et autres genres);Les Chaetophiloscies (Chaetophiloscia sicula, elongata et cellaria);;taxon terminal;1;1;0;0
La Chaetophiloscie cellaire;Chaetophiloscia cellaria;;La Chaetophiloscie cellaire;Chaetophiloscia cellaria;Les Cloportes (Oniscidea);Les Cloportes échancrés (Philoscia, Porcellionides et autres genres);Les Chaetophiloscies (Chaetophiloscia sicula, elongata et cellaria);;taxon terminal;1;1;0;0
Les Cloportes larges;Porcellio, Oniscus et autres genres;;Les Cloportes larges;Porcellio, Oniscus et autres genres;Les Cloportes (Oniscidea);Les Cloportes larges (Porcellio, Oniscus et autres genres);;;taxon intermédiaire;1;1;0;0
Le Cloporte de Rathke;Trachelipus rathkii;;Le Cloporte de Rathke;Trachelipus rathkii;Les Cloportes (Oniscidea);Les Cloportes larges (Porcellio, Oniscus et autres genres);;;taxon terminal;1;1;0;0
Le Cylistice convexe;Cylisticus convexus;;Le Cylistice convexe;Cylisticus convexus;Les Cloportes (Oniscidea);Les Cloportes larges (Porcellio, Oniscus et autres genres);;;taxon terminal;1;1;0;0
Le Porcellio rugueux;Porcellio scaber;;Le Porcellio rugueux;Porcellio scaber;Les Cloportes (Oniscidea);Les Cloportes larges (Porcellio, Oniscus et autres genres);;;taxon terminal;1;1;0;0
Le Porcellio lisse;Porcellio laevis;;Le Porcellio lisse;Porcellio laevis;Les Cloportes (Oniscidea);Les Cloportes larges (Porcellio, Oniscus et autres genres);;;taxon terminal;1;1;0;0
L'Aselle des murs;Oniscus asellus;;L'Aselle des murs;Oniscus asellus;Les Cloportes (Oniscidea);Les Cloportes larges (Porcellio, Oniscus et autres genres);;;taxon terminal;1;1;0;0
Le Porcellio spinicorne;Porcellio spinicornis;;Le Porcellio spinicorne;Porcellio spinicornis;Les Cloportes (Oniscidea);Les Cloportes larges (Porcellio, Oniscus et autres genres);;;taxon terminal;1;1;0;0
Le Porcellio monticole;Porcellio monticola;;Le Porcellio monticole;Porcellio monticola;Les Cloportes (Oniscidea);Les Cloportes larges (Porcellio, Oniscus et autres genres);;;taxon terminal;1;1;0;0
Le Porcellio dilaté;Porcellio dilatatus;;Le Porcellio dilaté;Porcellio dilatatus;Les Cloportes (Oniscidea);Les Cloportes larges (Porcellio, Oniscus et autres genres);;;taxon terminal;1;1;0;0
Les Cloportes Armadillomorphes;Armadillidium, Armadillo, Eluma;;Les Cloportes Armadillomorphes;Armadillidium, Armadillo, Eluma;Les Cloportes (Oniscidea);Les Cloportes Armadillomorphes (Armadillidium, Armadillo, Eluma);;;taxon intermédiaire;1;1;0;0
Les Armadilles;Armadillidium;;Les Armadilles;Armadillidium;Les Cloportes (Oniscidea);Les Cloportes Armadillomorphes (Armadillidium, Armadillo, Eluma);Les Armadilles (Armadillidium);;taxon intermédiaire;1;1;0;0
L'Armadille commune;Armadillidium vulgare;;L'Armadille commune;Armadillidium vulgare;Les Cloportes (Oniscidea);Les Cloportes Armadillomorphes (Armadillidium, Armadillo, Eluma);Les Armadilles (Armadillidium);;taxon terminal;1;1;0;0
L'Armadille à long museau;Armadillidium nasatum;;L'Armadille à long museau;Armadillidium nasatum;Les Cloportes (Oniscidea);Les Cloportes Armadillomorphes (Armadillidium, Armadillo, Eluma);Les Armadilles (Armadillidium);;taxon terminal;1;1;0;0
L'Armadille déprimée;Armadillidium depressum;;L'Armadille déprimée;Armadillidium depressum;Les Cloportes (Oniscidea);Les Cloportes Armadillomorphes (Armadillidium, Armadillo, Eluma);Les Armadilles (Armadillidium);;taxon terminal;1;1;0;0
L'Armadille granulée;Armadillidium granulatum;;L'Armadille granulée;Armadillidium granulatum;Les Cloportes (Oniscidea);Les Cloportes Armadillomorphes (Armadillidium, Armadillo, Eluma);Les Armadilles (Armadillidium);;taxon terminal;1;1;0;0
Les Armadilles colorées;Armadillidium pictum et pulchellum;;Les Armadilles colorées;Armadillidium pictum et pulchellum;Les Cloportes (Oniscidea);Les Cloportes Armadillomorphes (Armadillidium, Armadillo, Eluma);Les Armadilles (Armadillidium);;taxon terminal;1;1;0;0
L'Armadille zébrée;Armadillidium maculatum;;L'Armadille zébrée;Armadillidium maculatum;Les Cloportes (Oniscidea);Les Cloportes Armadillomorphes (Armadillidium, Armadillo, Eluma);Les Armadilles (Armadillidium);;taxon terminal;1;1;0;0
L'Elume veloutée;Eluma caelatum;;L'Elume veloutée;Eluma caelatum;Les Cloportes (Oniscidea);Les Cloportes Armadillomorphes (Armadillidium, Armadillo, Eluma);;;taxon terminal;1;1;0;0
L'Armadillo officinal;Armadillo officinalis;;L'Armadillo officinal;Armadillo officinalis;Les Cloportes (Oniscidea);Les Cloportes Armadillomorphes (Armadillidium, Armadillo, Eluma);;;taxon terminal;1;1;0;0
Les Pseudo-scorpions;Pseudoscorpiones;modifié (correction appelation);Les Pseudoscorpions;Pseudoscorpiones;;;;;taxon terminal;1;1;0;0
Les Acariens;Acari;;Les Acariens;Acari;Les Acariens (Acari);;;;taxon intermédiaire;1;1;0;0
Les Acariens rouges;Tetranychidae et Trombidiidae;modifié (correction appelation);Les Trombidions rouge velours;Trombidiidae;Les Acariens (Acari);;;;taxon terminal;1;1;0;0
;;ajout;Les Oribates;Oribatida;Les Acariens (Acari);;;;taxon terminal;1;1;0;0
;;ajout;Les Acariens à long nez;Bdellidae, Cunaxidae;Les Acariens (Acari);;;;taxon terminal;1;1;0;0
Les Opilions;Opiliones;;Les Opilions;Opiliones;;;;;taxon terminal;1;1;0;0
Les Araignées;Araneae;;Les Araignées;Araneae;Les Araignées (Araneae);;;;taxon intermédiaire;1;1;0;0
Les Araignées chasseuses Micrommata;Micrommata;;Les Araignées chasseuses Micrommata;Micrommata;Les Araignées (Araneae);;;;taxon terminal;1;1;0;0
L'Araignée chasseuse Olios;Olios argelasius;;L'Araignée chasseuse Olios;Olios argelasius;Les Araignées (Araneae);;;;taxon terminal;1;1;0;0
Les Erèses coccinelles;Eresus kollari et sandaliatus;;Les Erèses coccinelles;Eresus kollari et sandaliatus;Les Araignées (Araneae);;;;taxon terminal;1;1;0;0
Les Zora;Zora spinimana et autres espèces;;Les Zora;Zora spinimana et autres espèces;Les Araignées (Araneae);;;;taxon terminal;1;1;0;0
Les Dolomèdes;Dolomedes;;Les Dolomèdes;Dolomedes;Les Araignées (Araneae);;;;taxon terminal;1;1;0;0
La Pisaure admirable;Pisaura mirabilis;modifié (correction appelation);Les Pisaures;Pisaura;Les Araignées (Araneae);;;;taxon terminal;1;1;0;0
Les Araignées lynx;Oxyopes;;Les Araignées lynx;Oxyopes;Les Araignées (Araneae);;;;taxon terminal;1;1;0;0
Les Zoropses;Zoropsis spinimana et media;;Les Zoropses;Zoropsis spinimana et media;Les Araignées (Araneae);;;;taxon terminal;1;1;0;0
L'Agélène à labyrinthe;Agelena labyrinthica;modifié (correction appelation);Les Agélènes labyrinthe;Agelena labyrinthica, Allagelena graciliens;Les Araignées (Araneae);;;;taxon terminal;1;1;0;0
Les Gnaphoses;Gnaphosidae;;Les Gnaphoses;Gnaphosidae;Les Araignées (Araneae);Les Gnaphoses (Gnaphosidae);;;taxon intermédiaire;1;1;0;0
Les Gnaphoses sombres à tâches claires;Aphantaulax et autres genres;modifié (correction appelation);Les Gnaphoses sombres à tâches claires;Aphantaulax, Callilepis et autres genres;Les Araignées (Araneae);Les Gnaphoses (Gnaphosidae);;;taxon terminal;1;1;0;0
Les Gnaphoses Nomisia;Nomisia;;Les Gnaphoses Nomisia;Nomisia;Les Araignées (Araneae);Les Gnaphoses (Gnaphosidae);;;taxon terminal;1;1;0;0
Les Clubiones;Clubionidae;;Les Clubiones;Clubionidae;Les Araignées (Araneae);;;;taxon terminal;1;1;0;0
Les Liocranides;Liocranidae;;Les Liocranides;Liocranidae;Les Araignées (Araneae);;;;taxon terminal;1;1;0;0
Les Amaurobes;Amaurobius;;Les Amaurobes;Amaurobius;Les Araignées (Araneae);;;;taxon terminal;1;1;0;0
Les Coelotes;Coelotinae;;Les Coelotes;Coelotinae;Les Araignées (Araneae);;;;taxon terminal;1;1;0;0
Les Segestries;Segestriidae;;Les Segestries;Segestriidae;Les Araignées (Araneae);;;;taxon terminal;1;1;0;0
Les Tégénaires;Tegenaria;modifié (correction appelation);Les Tégénaires;Tegenaria, Eratigena;Les Araignées (Araneae);;;;taxon terminal;1;1;0;0
Les Epeires et autres Araneidae;Araneidae;;Les Epeires et autres Araneidae;Araneidae;Les Araignées (Araneae);Les Epeires et autres Araneidae (Araneidae);;;taxon intermédiaire;1;1;0;0
L'Épeire des fissures;Nuctenea umbratica;;L'Épeire des fissures;Nuctenea umbratica;Les Araignées (Araneae);Les Epeires et autres Araneidae (Araneidae);;;taxon terminal;1;1;0;0
L'Epeire frelon;Argiope bruennichi;;L'Epeire frelon;Argiope bruennichi;Les Araignées (Araneae);Les Epeires et autres Araneidae (Araneidae);;;taxon terminal;1;1;0;0
La Diodie tête de mort;Zilla diodia;;La Diodie tête de mort;Zilla diodia;Les Araignées (Araneae);Les Epeires et autres Araneidae (Araneidae);;;taxon terminal;1;1;0;0
L'Epeire alsine;Araneus alsine;;L'Epeire alsine;Araneus alsine;Les Araignées (Araneae);Les Epeires et autres Araneidae (Araneidae);;;taxon terminal;1;1;0;0
L'Epeire diadème;Araneus diadematus;;L'Epeire diadème;Araneus diadematus;Les Araignées (Araneae);Les Epeires et autres Araneidae (Araneidae);;;taxon terminal;1;1;0;0
