Nom français V1;Nom latin V1;Type modification;Nom français V2;Nom latin V2;Rang 1;Rang 2;Rang 3;Rang 4;Type taxon;Protocole Aspifaune;Protocole Noctambules;Protocole Escargot;Protocole vers
Le Lombric commun;Lumbricus terrestris;;Le Lombric commun;Lumbricus terrestris;Les Vers de terre (Lumbricina);Les Vers anéciques (Lumbricus, Aporrectodea et autres genres);Les Anéciques à tête rouge (Lumbricus terrestris, rubellus et centralis);;taxon terminal;1;1;0;1
Le Lombric rougeâtre;Lumbricus rubellus;;Le Lombric rougeâtre;Lumbricus rubellus;Les Vers de terre (Lumbricina);Les Vers anéciques (Lumbricus, Aporrectodea et autres genres);Les Anéciques à tête rouge (Lumbricus terrestris, rubellus et centralis);;taxon terminal;1;1;0;1
Le Lombric central;Lumbricus centralis;;Le Lombric central;Lumbricus centralis;Les Vers de terre (Lumbricina);Les Vers anéciques (Lumbricus, Aporrectodea et autres genres);Les Anéciques à tête rouge (Lumbricus terrestris, rubellus et centralis);;taxon terminal;1;1;0;1
Les Scherothecas;Scherotheca;;Les Scherothecas;Scherotheca;Les Vers de terre (Lumbricina);Les Vers anéciques (Lumbricus, Aporrectodea et autres genres);;;taxon terminal;1;1;0;1
L'Octodrile aplani;Octodrilus complanatus;;L'Octodrile aplani;Octodrilus complanatus;Les Vers de terre (Lumbricina);Les Vers anéciques (Lumbricus, Aporrectodea et autres genres);;;taxon terminal;1;1;0;1
Le Vignysa;Vignysa teres;;Le Vignysa;Vignysa teres;Les Vers de terre (Lumbricina);Les Vers anéciques (Lumbricus, Aporrectodea et autres genres);;;taxon terminal;1;1;0;1
Les Plathelminthes;Geoplanidae;;Les Plathelminthes;Geoplanidae;Les Plathelminthes (Geoplanidae);;;;taxon intermédiaire;1;1;0;1
Les Plathelminthes à tête en marteau;Bipalium;;Les Plathelminthes à tête en marteau;Bipalium;Les Plathelminthes (Geoplanidae);;;;taxon terminal;1;1;0;1
Le Plathelminthe à bande jaune;Caenoplana variegata;;Le Plathelminthe à bande jaune;Caenoplana variegata;Les Plathelminthes (Geoplanidae);;;;taxon terminal;1;1;0;1
Le Plathelminthe feuille;Obama nungara;;Le Plathelminthe feuille;Obama nungara;Les Plathelminthes (Geoplanidae);;;;taxon terminal;1;1;0;1
Le Plathelminthe noir;Parakontikia ventrolineata;;Le Plathelminthe noir;Parakontikia ventrolineata;Les Plathelminthes (Geoplanidae);;;;taxon terminal;1;1;0;1
Les Limaces;Gastropoda;ajout pour Escargots;Les Limaces;Gastropoda;Les Limaces (Gastropoda);;;;taxon intermédiaire;1;1;1;0
Les Testacelles;Testacellidae;;Les Testacelles;Testacellidae;Les Limaces (Gastropoda);;;;taxon terminal;1;1;0;0
La Limace léopard;Limax maximus;modifié (regroupement);Les Grandes Limaces;Limax cinereoniger et maximus;Les Limaces (Gastropoda);;;;taxon terminal;1;1;1;0
Les Grandes Loches, formes noires;Arion rufus et ater;modifié (correction appelation);Les Grandes Loches, formes noires;Arion rufus;Les Limaces (Gastropoda);;;;taxon terminal;1;1;1;0
Les Grandes Loches, formes rouges;Arion rufus et ater;modifié (correction appelation);Les Grandes Loches, formes rouges;Arion rufus;Les Limaces (Gastropoda);;;;taxon terminal;1;1;1;0
La Limace des jardins;Arion hortensis;;La Limace des jardins;Arion hortensis;Les Limaces (Gastropoda);;;;taxon terminal;1;1;0;0
La Limace des caves;Limacus flavus;;La Limace des caves;Limacus flavus;Les Limaces (Gastropoda);;;;taxon terminal;1;1;1;0
La Grande Limace;Limax cinereoniger;suppression;;;;;;;;0;0;0;0
La Pseudolimace chagrinée;Tandonia rustica;;La Pseudolimace chagrinée;Tandonia rustica;Les Limaces (Gastropoda);;;;taxon terminal;1;1;0;0
La Pseudolimace jayet;Milax gagates;;La Pseudolimace jayet;Milax gagates;Les Limaces (Gastropoda);;;;taxon terminal;1;1;0;0
La Loche laiteuse;Deroceras reticulatum;suppression;;;;;;;;0;0;0;0
Les Escargots;Gastropoda;ajout pour Escargots;Les Escargots;Gastropoda;Les Escargots (Gastropoda);;;;taxon intermédiaire;1;1;1;0
L'Elégante striée;Pomatias Elegans;;L'Elégante striée;Pomatias elegans;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
Les Cochlostomes;Cochlostoma;modif appelation comparaison à Escargot;Les Cochlostomes;Cochlostoma;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
Les Maillots;Chondrinidae, Lauriidae;;Les Maillots;Chondrinidae, Lauriidae;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
Le Bulime tronqué;Rumina decollata;;Le Bulime tronqué;Rumina decollata;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
Les Ambrettes;Succineidae;;Les Ambrettes;Succineidae;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
Le Bulime zébré;Zebrina detrita;;Le Bulime zébré;Zebrina detrita;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
Le Bulime inverse;Jaminia quadridens;;Le Bulime inverse;Jaminia quadridens;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
L'Escargot de Quimper;Elona quimperiana;;L'Escargot de Quimper;Elona quimperiana;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
Les Boutons;Discus rotundatus et ruderatus;;Les Boutons;Discus rotundatus et ruderatus;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
La Veloutée plane;Helicodonta obvoluta;;La Veloutée plane;Helicodonta obvoluta;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
La Troque élégante;Trochoidea elegans;;La Troque élégante;Trochoidea elegans;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
Les Clausilies;Clausiliidae;;Les Clausilies;Clausiliidae;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
La Soucoupe commune;Helicigona lapicida;;La Soucoupe commune;Helicigona lapicida;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
Le Zonite peson;Zonites algirus;;Le Zonite peson;Zonites algirus;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
Les Hélicelles;Helicella;modif appelation comparaison à Escargot;Les Hélicelles;Helicella;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
Les Luisants;Oxychilus, Morlina, Mediterranea;modifié (correction appelation);Les Luisants;Oxychilus, Morlina glabra, Mediterranea depressa;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
Les Veloutées;Trochulus;modif appelation comparaison à Escargot;Les Veloutées;Trochulus;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
L'Escargot Mourguéta;Massylaea vermiculata;modifié (correction appelation);L'Escargot Mourguéta;Eobania vermiculata;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
