"thesaurus_bdd";"Nom français V1";"Nom latin V1";"Type de modification";"Nom français V2";"Nom latin V2";"Rang 1";"Rang 2";"Rang 3";"Rang 4";"Regroupement1a";"Regroupement1b";"Regroupement2a";"Regroupement2b";"Regroupement3";"Embranchement";"Sous-embranchement";"Classe";"Sous_classe&Infra_classe";"Ordre";"SousOrdre";"Famille";"Type taxon";"Niv_deter_global";"Niv_deter_detail";"Nb_sp";"Protocole Aspifaune";"Protocole Noctambules";"Protocole Escargot";"Protocole vers";"id_thesaurus_final";"id_thesaurus_bdd"
"qubs.taxon";"Le Lombric rougeâtre";"Lumbricus rubellus";"";"Le Lombric rougeâtre";"Lumbricus rubellus";"Les Vers de terre (Lumbricina)";"Les Vers anéciques (Lumbricus, Aporrectodea et autres genres)";"Les Anéciques à tête rouge (Lumbricus terrestris, rubellus et centralis)";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Lumbricidae";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"1";"91";"107"
"qubs.taxon";"Le Microscolex équivoque";"Microscolex dubius";"";"Le Microscolex équivoque";"Microscolex dubius";"Les Vers de terre (Lumbricina)";"Les Vers endogés (Aporrectodea, Allolobophora et autres genres)";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Acanthodrillidae";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"1";"85";"98"
"qubs.taxon";"Le Microscolex phosphorescent";"Microscolex phosphoreus";"";"Le Microscolex phosphorescent";"Microscolex phosphoreus";"Les Vers de terre (Lumbricina)";"Les Vers endogés (Aporrectodea, Allolobophora et autres genres)";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Acanthodrillidae";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"1";"84";"97"
"qubs.taxon";"Le Ver endogé gris";"Aporrectodea caliginosa";"";"Le Ver endogé gris";"Aporrectodea caliginosa";"Les Vers de terre (Lumbricina)";"Les Vers endogés (Aporrectodea, Allolobophora et autres genres)";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Lumbricidae";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"1";"86";"99"
"qubs.taxon";"Le Ver endogé rose";"Aporrectodea rosea";"";"Le Ver endogé rose";"Aporrectodea rosea";"Les Vers de terre (Lumbricina)";"Les Vers endogés (Aporrectodea, Allolobophora et autres genres)";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Lumbricidae";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"1";"87";"100"
"qubs.taxon";"Le Ver marbré";"Aporrectodea icterica";"";"Le Ver marbré";"Aporrectodea icterica";"Les Vers de terre (Lumbricina)";"Les Vers endogés (Aporrectodea, Allolobophora et autres genres)";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Lumbricidae";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"1";"83";"96"
"qubs.taxon";"Le Ver verdâtre, forme pâle";"Allolobophora chlorotica";"";"Le Ver verdâtre, forme pâle";"Allolobophora chlorotica";"Les Vers de terre (Lumbricina)";"Les Vers endogés (Aporrectodea, Allolobophora et autres genres)";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Lumbricidae";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"1";"82";"95"
"qubs.taxon";"Le Ver verdâtre, forme verte";"Allolobophora chlorotica";"";"Le Ver verdâtre, forme verte";"Allolobophora chlorotica";"Les Vers de terre (Lumbricina)";"Les Vers endogés (Aporrectodea, Allolobophora et autres genres)";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Lumbricidae";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"1";"81";"94"
"qubs.taxon";"Les Vers endogés";"Aporrectodea, Allolobophora et autres genres";"";"Les Vers endogés";"Aporrectodea, Allolobophora et autres genres";"Les Vers de terre (Lumbricina)";"Les Vers endogés (Aporrectodea, Allolobophora et autres genres)";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";NA;"taxon intermédiaire";"Plusieurs familles";"";"";"1";"1";"0";"1";"80";"93"
"qubs.taxon";"Le Lombric châtain";"Lumbricus castaneus";"";"Le Lombric châtain";"Lumbricus castaneus";"Les Vers de terre (Lumbricina)";"Les Vers épigés (Lumbricus, Dendrobaena et autres genres)";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Lumbricidae";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"1";"78";"91"
